D(3.00 x 3.00 x 3.00)	SA: 54.00	V: 27.00	M: 10.00	P: 0.00
D(3.00 x 3.00 x 6.00)	SA: 90.00	V: 54.00	M: 10.00	P: 0.00
D(3.00 x 3.00 x 9.00)	SA: 126.00	V: 81.00	M: 10.00	P: 0.00
D(3.00 x 3.00 x 12.00)	SA: 162.00	V: 108.00	M: 10.00	P: 0.00
D(3.00 x 6.00 x 3.00)	SA: 90.00	V: 54.00	M: 10.00	P: 0.00
D(3.00 x 6.00 x 6.00)	SA: 144.00	V: 108.00	M: 10.00	P: 0.00
D(3.00 x 6.00 x 9.00)	SA: 198.00	V: 162.00	M: 10.00	P: 0.00
D(3.00 x 6.00 x 12.00)	SA: 252.00	V: 216.00	M: 10.00	P: 0.00
D(3.00 x 9.00 x 3.00)	SA: 126.00	V: 81.00	M: 10.00	P: 0.00
D(3.00 x 9.00 x 6.00)	SA: 198.00	V: 162.00	M: 10.00	P: 0.00
D(3.00 x 9.00 x 9.00)	SA: 270.00	V: 243.00	M: 10.00	P: 0.00
D(3.00 x 9.00 x 12.00)	SA: 342.00	V: 324.00	M: 10.00	P: 0.00
D(3.00 x 12.00 x 3.00)	SA: 162.00	V: 108.00	M: 10.00	P: 0.00
D(3.00 x 12.00 x 6.00)	SA: 252.00	V: 216.00	M: 10.00	P: 0.00
D(3.00 x 12.00 x 9.00)	SA: 342.00	V: 324.00	M: 10.00	P: 0.00
D(3.00 x 12.00 x 12.00)	SA: 432.00	V: 432.00	M: 10.00	P: 0.00
D(6.00 x 3.00 x 3.00)	SA: 90.00	V: 54.00	M: 10.00	P: 0.00
D(6.00 x 3.00 x 6.00)	SA: 144.00	V: 108.00	M: 10.00	P: 0.00
D(6.00 x 3.00 x 9.00)	SA: 198.00	V: 162.00	M: 10.00	P: 0.00
D(6.00 x 3.00 x 12.00)	SA: 252.00	V: 216.00	M: 10.00	P: 0.00
D(6.00 x 6.00 x 3.00)	SA: 144.00	V: 108.00	M: 10.00	P: 0.00
D(6.00 x 6.00 x 6.00)	SA: 216.00	V: 216.00	M: 10.00	P: 0.00
D(6.00 x 6.00 x 9.00)	SA: 288.00	V: 324.00	M: 10.00	P: 0.00
D(6.00 x 6.00 x 12.00)	SA: 360.00	V: 432.00	M: 10.00	P: 0.00
D(6.00 x 9.00 x 3.00)	SA: 198.00	V: 162.00	M: 10.00	P: 0.00
D(6.00 x 9.00 x 6.00)	SA: 288.00	V: 324.00	M: 10.00	P: 0.00
D(6.00 x 9.00 x 9.00)	SA: 378.00	V: 486.00	M: 10.00	P: 0.00
D(6.00 x 9.00 x 12.00)	SA: 468.00	V: 648.00	M: 10.00	P: 0.00
D(6.00 x 12.00 x 3.00)	SA: 252.00	V: 216.00	M: 10.00	P: 0.00
D(6.00 x 12.00 x 6.00)	SA: 360.00	V: 432.00	M: 10.00	P: 0.00
D(6.00 x 12.00 x 9.00)	SA: 468.00	V: 648.00	M: 10.00	P: 0.00
D(6.00 x 12.00 x 12.00)	SA: 576.00	V: 864.00	M: 10.00	P: 0.00
D(9.00 x 3.00 x 3.00)	SA: 126.00	V: 81.00	M: 10.00	P: 0.00
D(9.00 x 3.00 x 6.00)	SA: 198.00	V: 162.00	M: 10.00	P: 0.00
D(9.00 x 3.00 x 9.00)	SA: 270.00	V: 243.00	M: 10.00	P: 0.00
D(9.00 x 3.00 x 12.00)	SA: 342.00	V: 324.00	M: 10.00	P: 0.00
D(9.00 x 6.00 x 3.00)	SA: 198.00	V: 162.00	M: 10.00	P: 0.00
D(9.00 x 6.00 x 6.00)	SA: 288.00	V: 324.00	M: 10.00	P: 0.00
D(9.00 x 6.00 x 9.00)	SA: 378.00	V: 486.00	M: 10.00	P: 0.00
D(9.00 x 6.00 x 12.00)	SA: 468.00	V: 648.00	M: 10.00	P: 0.00
D(9.00 x 9.00 x 3.00)	SA: 270.00	V: 243.00	M: 10.00	P: 0.00
D(9.00 x 9.00 x 6.00)	SA: 378.00	V: 486.00	M: 10.00	P: 0.00
D(9.00 x 9.00 x 9.00)	SA: 486.00	V: 729.00	M: 10.00	P: 0.00
D(9.00 x 9.00 x 12.00)	SA: 594.00	V: 972.00	M: 10.00	P: 0.00
D(9.00 x 12.00 x 3.00)	SA: 342.00	V: 324.00	M: 10.00	P: 0.00
D(9.00 x 12.00 x 6.00)	SA: 468.00	V: 648.00	M: 10.00	P: 0.00
D(9.00 x 12.00 x 9.00)	SA: 594.00	V: 972.00	M: 10.00	P: 0.00
D(9.00 x 12.00 x 12.00)	SA: 720.00	V: 1296.00	M: 10.00	P: 0.00
D(12.00 x 3.00 x 3.00)	SA: 162.00	V: 108.00	M: 10.00	P: 0.00
D(12.00 x 3.00 x 6.00)	SA: 252.00	V: 216.00	M: 10.00	P: 0.00
D(12.00 x 3.00 x 9.00)	SA: 342.00	V: 324.00	M: 10.00	P: 0.00
D(12.00 x 3.00 x 12.00)	SA: 432.00	V: 432.00	M: 10.00	P: 0.00
D(12.00 x 6.00 x 3.00)	SA: 252.00	V: 216.00	M: 10.00	P: 0.00
D(12.00 x 6.00 x 6.00)	SA: 360.00	V: 432.00	M: 10.00	P: 0.00
D(12.00 x 6.00 x 9.00)	SA: 468.00	V: 648.00	M: 10.00	P: 0.00
D(12.00 x 6.00 x 12.00)	SA: 576.00	V: 864.00	M: 10.00	P: 0.00
D(12.00 x 9.00 x 3.00)	SA: 342.00	V: 324.00	M: 10.00	P: 0.00
D(12.00 x 9.00 x 6.00)	SA: 468.00	V: 648.00	M: 10.00	P: 0.00
D(12.00 x 9.00 x 9.00)	SA: 594.00	V: 972.00	M: 10.00	P: 0.00
D(12.00 x 9.00 x 12.00)	SA: 720.00	V: 1296.00	M: 10.00	P: 0.00
D(12.00 x 12.00 x 3.00)	SA: 432.00	V: 432.00	M: 10.00	P: 0.00
D(12.00 x 12.00 x 6.00)	SA: 576.00	V: 864.00	M: 10.00	P: 0.00
D(12.00 x 12.00 x 9.00)	SA: 720.00	V: 1296.00	M: 10.00	P: 0.00
D(12.00 x 12.00 x 12.00)	SA: 864.00	V: 1728.00	M: 10.00	P: 0.00
